seed,parameter_type,item,original_item,predictor,mean,q5,q95,credible_nonzero_90
20260705,loading,1,1,income_c,-0.008467380174848,-0.0438451719,0.02582757545,FALSE
20260705,loading,1,1,discrim_any,-0.200132136805,-0.3079701155,-0.0921111822,TRUE
20260705,loading,2,2,age_c,-0.005327700546695,-0.0120270799,0.00122134199,FALSE
20260705,loading,2,2,korean_c,0.019888951728351,-0.00956204358,0.04726973895,FALSE
20260705,loading,2,2,income_c,-0.005161272914334,-0.0327230534,0.02144285335,FALSE
20260705,loading,2,2,discrim_any,-0.34936769469,-0.4836283325,-0.217400705,TRUE
20260705,loading,3,3,age_c,-0.012555032159312,-0.0178662909,-0.00694502693,TRUE
20260705,loading,3,3,korean_c,0.073750642267,0.05084644985,0.095818436,TRUE
20260705,loading,3,3,income_c,0.005097756283554,-0.0210456148,0.02941764225,FALSE
20260705,loading,3,3,discrim_any,0.163270766152,0.106289409,0.217675859,TRUE
20260705,loading,4,4,age_c,0.0164337767081,0.0116555131,0.0210645004,TRUE
20260705,loading,4,4,korean_c,0.092987324491,0.07417413345,0.1123674655,TRUE
20260705,loading,4,4,income_c,0.0015969736414309,-0.0179384497,0.02108219555,FALSE
20260705,loading,4,4,discrim_any,0.06415717471103,0.0143681728,0.1130472375,TRUE
20260705,loading,5,5,age_c,-0.00793572672573,-0.0133834282,-0.002566283425,TRUE
20260705,loading,5,5,korean_c,0.067530574178,0.0386002537,0.0996238869,TRUE
20260705,loading,5,5,income_c,-0.018234813043608,-0.04727470325,0.0103849886,FALSE
20260705,loading,5,5,discrim_any,0.186142043411,0.1161172105,0.256351241,TRUE
20260705,loading,6,6,age_c,-0.024346299894935,-0.04699431935,-0.00127041501050002,TRUE
20260705,loading,6,6,korean_c,0.0318797015034,-0.0933924873,0.1643064485,FALSE
20260705,loading,6,6,income_c,0.037232318046882,-0.03989059175,0.1111958405,FALSE
20260705,loading,6,6,discrim_any,-0.117447872772441,-0.339047117,0.1024368585,FALSE
20260705,loading,7,7,age_c,0.0009165933904558,-0.00310659128,0.00503517571,FALSE
20260705,loading,7,7,korean_c,0.03054210940893,0.009610953525,0.0525315702,TRUE
20260705,loading,7,7,income_c,-0.03980210920137,-0.06162681215,-0.01887892105,TRUE
20260705,loading,7,7,discrim_any,-0.018625972152589,-0.0699006315,0.0348124755,FALSE
20260705,loading,8,8,age_c,0.004476501539214,0.000274343017,0.008928173675,TRUE
20260705,loading,8,8,korean_c,0.059374895331,0.03809796975,0.08072356415,TRUE
20260705,loading,8,8,income_c,0.01714435297041,-0.0001664528055,0.0340682213,FALSE
20260705,loading,8,8,discrim_any,-0.009265923460314,-0.07330905715,0.0523331664,FALSE
20260705,threshold,1,1,age_c,-0.0205539592944,-0.028451733,-0.0131259009,TRUE
20260705,threshold,1,1,korean_c,0.0615495807297,0.03212405235,0.0917646888,TRUE
20260705,threshold,1,1,income_c,0.140621139714,0.1095108075,0.1706384025,TRUE
20260705,threshold,1,1,discrim_any,-0.9783615645,-1.055466285,-0.896074068,TRUE
20260705,threshold,2,2,age_c,-0.0012870119824238,-0.007367052865,0.004396831655,FALSE
20260705,threshold,2,2,korean_c,0.0663670927721,0.03094853305,0.100120231,TRUE
20260705,threshold,2,2,income_c,0.0859940702,0.05366486065,0.1168215935,TRUE
20260705,threshold,2,2,discrim_any,-1.4562712783,-1.54161423,-1.371713095,TRUE
20260705,threshold,3,3,age_c,-0.004036647712296,-0.008646514315,0.000894160136,FALSE
20260705,threshold,3,3,korean_c,0.20771826553,0.1728556705,0.242249613,TRUE
20260705,threshold,3,3,income_c,0.21727855873,0.182151891,0.2526610095,TRUE
20260705,threshold,3,3,discrim_any,-0.217278205481,-0.30498046,-0.133384142,TRUE
20260705,threshold,4,4,age_c,0.013751231373,0.00804066122,0.0194521953,TRUE
20260705,threshold,4,4,korean_c,0.26414180695,0.2285776715,0.300329724,TRUE
20260705,threshold,4,4,income_c,0.29478037722,0.255062956,0.3337428335,TRUE
20260705,threshold,4,4,discrim_any,-0.31115151165,-0.3900143015,-0.2300375375,TRUE
20260705,threshold,5,5,age_c,-0.00940982035415,-0.01585565425,-0.00291856971,TRUE
20260705,threshold,5,5,korean_c,0.105800962887,0.06985167795,0.144797966,TRUE
20260705,threshold,5,5,income_c,0.150482811892,0.116432787,0.185131476,TRUE
20260705,threshold,5,5,discrim_any,-0.13925509610785,-0.2221936115,-0.05491839435,TRUE
20260705,threshold,6,6,age_c,-0.0139538930161,-0.0201958035,-0.008067189665,TRUE
20260705,threshold,6,6,korean_c,-0.19441154227,-0.2360061075,-0.151568692,TRUE
20260705,threshold,6,6,income_c,-0.10212868429,-0.1363414065,-0.06898717845,TRUE
20260705,threshold,6,6,discrim_any,-1.13326470294,-1.22125076,-1.04588054,TRUE
20260705,threshold,7,7,age_c,-0.00920680189839,-0.01445533855,-0.00373799857,TRUE
20260705,threshold,7,7,korean_c,0.0850116188822,0.0510717051,0.1209526715,TRUE
20260705,threshold,7,7,income_c,0.20184942051,0.168581727,0.235356404,TRUE
20260705,threshold,7,7,discrim_any,-0.68461194484,-0.781311799,-0.587419393,TRUE
20260705,threshold,8,8,age_c,-0.0196102173046,-0.02548601045,-0.01387264375,TRUE
20260705,threshold,8,8,korean_c,0.02089381030734,-0.01568402055,0.05749207895,FALSE
20260705,threshold,8,8,income_c,0.20055539507,0.1696099805,0.231622317,TRUE
20260705,threshold,8,8,discrim_any,-0.74343960355,-0.82326511,-0.664095397,TRUE
